https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1609909200000,2021-01-06 05:00:00,BTC/USDT,35470.73,35716.25,34611.25,35069.72,22948.647,806274195.64369,165768
1609905600000,2021-01-06 04:00:00,BTC/USDT,34182.50,35948.66,34173.20,35470.73,50989.757,1793767853.69753,321362
1609902000000,2021-01-06 03:00:00,BTC/USDT,33914.96,34244.66,33683.38,34182.50,10633.755,360881081.86721,82249
1609898400000,2021-01-06 02:00:00,BTC/USDT,33863.93,34187.56,33795.00,33920.64,11385.478,387247578.60301,79866
1609894800000,2021-01-06 01:00:00,BTC/USDT,33962.70,34060.00,33555.91,33863.93,9662.571,326647157.19501,75246
1609891200000,2021-01-06 00:00:00,BTC/USDT,33999.51,34164.20,33356.46,33962.70,19544.217,659346569.20786,128517
1609887600000,2021-01-05 23:00:00,BTC/USDT,34261.20,34358.10,33718.50,33999.52,13793.389,468636105.60233,100842
1609884000000,2021-01-05 22:00:00,BTC/USDT,33742.93,34500.00,33738.66,34261.16,16397.561,561589082.80740,129169
1609880400000,2021-01-05 21:00:00,BTC/USDT,34017.01,34060.00,33505.27,33744.79,12576.268,425329048.81278,98218
1609876800000,2021-01-05 20:00:00,BTC/USDT,33747.00,34103.22,33405.00,34017.00,18253.254,615931107.82226,141955
1609873200000,2021-01-05 19:00:00,BTC/USDT,33411.50,34300.00,33146.63,33747.00,31427.188,1061712202.55209,229509
1609869600000,2021-01-05 18:00:00,BTC/USDT,32793.79,33488.00,32694.77,33411.50,23785.354,788103600.58033,171548
1609866000000,2021-01-05 17:00:00,BTC/USDT,32518.32,32858.00,32290.61,32793.80,11416.931,371599869.22640,97158
1609862400000,2021-01-05 16:00:00,BTC/USDT,32130.05,32743.31,31802.25,32518.32,21808.403,706268387.27583,148897
1609858800000,2021-01-05 15:00:00,BTC/USDT,32402.11,32422.00,31964.27,32133.79,12967.911,417187127.80380,100926
1609855200000,2021-01-05 14:00:00,BTC/USDT,31498.73,32450.05,31142.74,32399.95,23345.963,740815624.70111,162384
1609851600000,2021-01-05 13:00:00,BTC/USDT,31618.00,31935.55,31451.00,31488.97,8201.125,260096190.84319,69042
1609848000000,2021-01-05 12:00:00,BTC/USDT,31816.47,32100.00,31589.92,31618.00,15838.729,504592687.24691,112501
1609844400000,2021-01-05 11:00:00,BTC/USDT,31382.85,31824.53,31313.00,31824.53,9283.318,292963405.37445,76697
1609840800000,2021-01-05 10:00:00,BTC/USDT,31603.68,31719.93,31120.00,31382.84,12353.254,387918587.14690,91595
1609837200000,2021-01-05 09:00:00,BTC/USDT,31223.45,31850.00,31188.20,31604.61,12863.683,405772956.06209,97691
1609833600000,2021-01-05 08:00:00,BTC/USDT,30844.25,31549.90,30840.00,31224.10,14310.962,447103279.82771,105292
1609830000000,2021-01-05 07:00:00,BTC/USDT,31134.44,31341.00,30780.00,30844.23,11490.751,356731334.41449,85492
1609826400000,2021-01-05 06:00:00,BTC/USDT,30460.80,31287.00,29900.00,31136.47,28394.012,868866278.01241,181701
1609822800000,2021-01-05 05:00:00,BTC/USDT,30891.76,31401.45,30004.09,30460.81,33175.152,1020427475.50752,201103
1609819200000,2021-01-05 04:00:00,BTC/USDT,31218.96,31575.46,30425.00,30891.77,30802.146,958735623.58553,198881
1609815600000,2021-01-05 03:00:00,BTC/USDT,32358.11,32593.41,31155.17,31217.58,24813.712,788643441.82021,155326
1609812000000,2021-01-05 02:00:00,BTC/USDT,32837.23,32880.76,32267.35,32358.11,8991.988,292629570.14368,76534
1609808400000,2021-01-05 01:00:00,BTC/USDT,32500.00,32847.26,32317.91,32837.22,12645.212,411926299.09084,94186
1609804800000,2021-01-05 00:00:00,BTC/USDT,32029.55,32900.00,32026.31,32496.46,24784.567,805774172.29172,150493
1609801200000,2021-01-04 23:00:00,BTC/USDT,31366.58,32075.19,31200.00,32031.07,15672.163,497427820.14766,101935
1609797600000,2021-01-04 22:00:00,BTC/USDT,31048.19,31520.00,30998.76,31366.58,5113.426,160036312.04121,51845
1609794000000,2021-01-04 21:00:00,BTC/USDT,31277.47,31615.57,30900.00,31048.19,10754.976,335314311.00406,82530
1609790400000,2021-01-04 20:00:00,BTC/USDT,31691.15,31863.98,31240.00,31277.46,9937.171,313157509.76418,78222
1609786800000,2021-01-04 19:00:00,BTC/USDT,31195.83,31914.36,31119.94,31689.27,10761.474,339396800.07518,85683
1609783200000,2021-01-04 18:00:00,BTC/USDT,31063.98,31500.00,31050.00,31195.83,10958.465,342561496.29541,87173
1609779600000,2021-01-04 17:00:00,BTC/USDT,31341.03,31552.00,30661.66,31063.98,17431.343,541710687.30847,128099
1609776000000,2021-01-04 16:00:00,BTC/USDT,31755.02,31940.00,30761.00,31341.04,32801.340,1025207569.20470,203182
1609772400000,2021-01-04 15:00:00,BTC/USDT,32107.15,32190.01,31558.18,31758.38,20475.538,652945073.61730,134531
1609768800000,2021-01-04 14:00:00,BTC/USDT,31424.18,32135.00,31403.58,32107.19,22653.383,720011511.77137,165772
1609765200000,2021-01-04 13:00:00,BTC/USDT,31230.48,31425.60,30620.00,31424.22,19940.016,618260271.87847,146361
1609761600000,2021-01-04 12:00:00,BTC/USDT,30757.33,31441.68,30472.48,31225.59,27295.466,846178539.93640,188803
1609758000000,2021-01-04 11:00:00,BTC/USDT,30279.43,30930.00,29450.00,30760.39,35147.580,1060214175.46674,226007
1609754400000,2021-01-04 10:00:00,BTC/USDT,31179.96,31341.81,27800.00,30279.53,78494.179,2314095073.28409,484250
1609750800000,2021-01-04 09:00:00,BTC/USDT,32131.93,32247.75,30400.00,31179.96,46647.612,1461727558.52586,268593
1609747200000,2021-01-04 08:00:00,BTC/USDT,32187.38,32642.70,31546.00,32129.54,25222.138,810367227.74795,178629
1609743600000,2021-01-04 07:00:00,BTC/USDT,33265.89,33311.96,31692.10,32186.58,40176.196,1299831374.68577,246972
1609740000000,2021-01-04 06:00:00,BTC/USDT,32922.50,33513.61,32922.50,33265.89,13157.654,437322452.14332,97362
1609736400000,2021-01-04 05:00:00,BTC/USDT,33324.51,33411.31,32901.00,32922.50,9697.308,321715103.42484,82567
1609732800000,2021-01-04 04:00:00,BTC/USDT,33562.23,33653.56,33250.00,33324.51,7728.847,258473726.83113,69556
1609729200000,2021-01-04 03:00:00,BTC/USDT,33503.04,33583.07,33222.00,33562.22,7468.749,249587920.55952,67381
1609725600000,2021-01-04 02:00:00,BTC/USDT,33242.23,33647.69,33015.00,33502.99,9932.020,330708549.60818,81785
1609722000000,2021-01-04 01:00:00,BTC/USDT,32907.39,33378.00,32656.78,33242.22,10317.378,340670601.89650,84329
1609718400000,2021-01-04 00:00:00,BTC/USDT,33053.93,33165.00,32457.00,32907.40,18343.601,602274169.03471,129384
1609714800000,2021-01-03 23:00:00,BTC/USDT,33209.99,33665.92,32703.33,33054.53,17091.487,567812945.71687,131207
1609711200000,2021-01-03 22:00:00,BTC/USDT,33625.00,33736.12,33057.00,33209.99,11372.293,379879559.66423,95911
1609707600000,2021-01-03 21:00:00,BTC/USDT,33779.07,33948.13,33561.00,33625.00,7715.854,260425792.29560,69369
1609704000000,2021-01-03 20:00:00,BTC/USDT,32823.72,33912.53,32776.98,33779.07,21968.134,736608576.10679,147520
1609700400000,2021-01-03 19:00:00,BTC/USDT,32831.09,32992.20,32509.89,32823.72,10792.227,353401347.82846,82291
1609696800000,2021-01-03 18:00:00,BTC/USDT,32979.98,33097.07,32400.00,32831.08,19648.921,643003955.63803,134835
1609693200000,2021-01-03 17:00:00,BTC/USDT,32742.48,33324.80,32530.37,32979.98,28138.878,926415115.98186,190535
1609689600000,2021-01-03 16:00:00,BTC/USDT,33538.81,33886.96,32675.00,32742.51,27424.316,914775898.58992,181904
1609686000000,2021-01-03 15:00:00,BTC/USDT,33903.74,33970.00,32826.35,33540.46,39775.085,1328381843.51120,239775
1609682400000,2021-01-03 14:00:00,BTC/USDT,33937.45,34213.75,33551.00,33903.75,19640.484,665636361.27525,137999
1609678800000,2021-01-03 13:00:00,BTC/USDT,34159.29,34439.92,33838.56,33939.02,15368.473,524628618.36031,114536
1609675200000,2021-01-03 12:00:00,BTC/USDT,34464.07,34663.00,33941.20,34156.94,19859.885,681788754.69014,127347
1609671600000,2021-01-03 11:00:00,BTC/USDT,33945.43,34499.53,33839.05,34464.06,17190.829,587971109.32662,114096
1609668000000,2021-01-03 10:00:00,BTC/USDT,34235.43,34402.06,33457.00,33949.75,28898.441,979766624.85025,177878
